n,max_flow,electrical_alg,ratio
156,9.196408868,9.196408868,1
156,7.189668427,7.189668427,1
156,5.759642103,5.759642103,1
156,4.976591351,4.976591351,1
157,4.525956029,4.525956029,1
157,7.787990379,7.787990379,1
157,9.421714434,9.421714434,1
157,7.717787293,7.717787293,1
158,12.4438004,12.4438004,1
158,7.121262919,7.121262919,1
159,4.673127371,4.673127371,1
159,9.107660805,9.107660805,1
160,8.955992185,8.955992185,1
160,7.691755364,7.691755364,1
160,6.293164235,6.293164235,1
161,5.331375962,5.331375962,1
161,9.243513291,9.243513291,1
161,5.065552349,5.065552349,1
161,8.144355977,8.144355977,1
162,6.976345631,6.976345631,1
162,10.92523567,10.92523567,1
162,6.059866356,6.059866356,1
163,6.012506494,6.012506494,1
163,6.79734403,6.79734403,1
163,7.770763284,7.770763284,1
164,6.003751517,6.003751517,1
164,4.95008132,4.95008132,1
164,7.318913081,7.318913081,1
165,7.250134457,7.250134457,1
165,8.064396659,8.064396659,1
166,7.637391807,7.637391807,1
166,5.619062167,5.619062167,1
166,6.797949007,6.797949007,1
166,8.374901554,8.374901554,1
166,5.151965953,5.151965953,1
167,7.972564479,7.972564479,1
167,7.59305722,7.59305722,1
168,7.912912125,7.912912125,1
168,10.72986893,10.72986893,1
169,6.497955891,6.497955891,1
169,10.92412039,10.92412039,1
170,6.649511518,6.649511518,1
170,6.092838208,6.092838208,1
171,6.655001563,6.655001563,1
172,6.584652029,6.584652029,1
172,8.528873544,8.528873544,1
172,7.611089994,7.611089994,1
172,7.776469556,7.776469556,1
172,8.524605076,8.524605076,1
173,7.570364793,7.570364793,1
174,7.799444402,7.799444402,1
174,7.67767311,7.67767311,1
174,8.261511518,8.261511518,1
175,4.974692042,4.974692042,1
176,9.67045686,9.67045686,1
177,6.03101924,6.03101924,1
177,17.88057451,17.88057451,1
178,7.737548062,7.737548062,1
178,5.487689723,5.487689723,1
179,6.808856134,6.808856134,1
180,8.455150836,8.455150836,1
180,9.436655388,9.436655388,1
180,7.521068266,7.521068266,1
180,6.504414685,6.504414685,1
183,8.219248111,8.219248111,1
183,6.648184331,6.648184331,1
183,7.83923313,7.83923313,1
183,7.339487583,7.339487583,1
184,7.133752535,7.133752535,1
185,7.816604042,7.816604042,1
186,6.499927815,6.499927815,1
186,6.141816974,6.141816974,1
186,7.613297983,7.613297983,1
186,8.647190258,8.647190258,1
186,5.026420567,5.026420567,1
187,7.074670834,7.074670834,1
187,6.361234283,6.361234283,1
187,6.896046553,6.896046553,1
188,6.652571588,6.652571588,1
188,6.531656033,6.531656033,1
189,6.629230274,6.629230274,1
189,7.889430103,7.889430103,1
189,5.385216504,5.385216504,1
190,6.774587879,6.774587879,1
191,6.562009519,6.562009519,1
191,4.833054845,4.833054845,1
191,8.92554032,8.92554032,1
191,10.15628836,10.15628836,1
192,6.245587719,6.245587719,1
192,8.747557865,8.747557865,1
193,7.219513315,7.219513315,1
193,9.033590497,9.033590497,1
194,5.009157777,5.009157777,1
194,6.925959608,6.925959608,1
195,7.112452787,7.112452787,1
195,5.256517397,5.256517397,1
196,11.61358762,11.61358762,1
196,5.520384624,5.520384624,1
196,6.055234483,6.055234483,1
196,7.441422254,7.441422254,1
197,5.206538463,5.206538463,1
199,6.050470315,6.050470315,1
200,7.378113538,7.378113538,1
201,7.934515585,7.934515585,1
202,7.29244351,7.29244351,1
203,6.746306566,6.746306566,1
203,9.437343861,9.437343861,1
203,4.808565969,4.808565969,1
203,6.081805811,6.081805811,1
203,5.329102661,5.329102661,1
204,5.676796356,5.676796356,1
204,9.292229655,9.292229655,1
205,7.743165428,7.743165428,1
206,9.228344147,9.228344147,1
207,6.453407488,6.453407488,1
207,5.073769099,5.073769099,1
208,9.221890538,9.221890538,1
208,7.028368728,7.028368728,1
208,8.106848439,8.106848439,1
208,5.812316079,5.812316079,1
209,5.429849499,5.429849499,1
211,7.590109823,7.590109823,1
211,9.117105533,9.117105533,1
211,6.49814553,6.49814553,1
211,10.37980063,10.37980063,1
212,10.56587454,10.56587454,1
213,6.76657917,6.76657917,1
213,6.385965424,6.385965424,1
213,7.264575429,7.264575429,1
213,6.925496786,6.925496786,1
214,7.415413864,7.415413864,1
215,5.659550335,5.659550335,1
215,7.501792275,7.501792275,1
215,5.958473259,5.958473259,1
216,7.353969902,7.353969902,1
217,7.080414683,7.080414683,1
218,6.441449853,6.441449853,1
218,7.335466587,7.335466587,1
218,6.341931058,6.341931058,1
219,6.535560041,6.535560041,1
219,7.085083162,7.085083162,1
219,7.919504839,7.919504839,1
220,3.388441112,3.388441112,1
220,5.682511913,5.682511913,1
220,7.940757675,7.940757675,1
220,5.971294563,5.971294563,1
220,5.393967425,5.393967425,1
220,6.807941559,6.807941559,1
221,4.383741477,4.383741477,1
221,7.714898066,7.714898066,1
221,7.420310909,7.420310909,1
221,5.954499358,5.954499358,1
222,6.946952049,6.946952049,1
222,8.400176506,8.400176506,1
222,7.12214499,7.12214499,1
223,11.24763211,11.24763211,1
223,6.750656832,6.750656832,1
224,6.636637119,6.636637119,1
224,8.041319534,8.041319534,1
224,6.665932946,6.665932946,1
224,9.464013938,9.464013938,1
